barcode,name,calories,protein,fat,carbs,brand,weight
0482023737204,"Маргарин Панна Преміум 72% 500г",650,0,72,0,"Panna","500"
4820050460878,"Маргарин Панна Преміум 72% 200г",650,0,72,0,"Panna","200"
5941133003641,"Молоко Prodlacta ультрапастеризоване 3,5% 1л",61,2.9,3.5,4.5,"Prodlacta",""
5941133003658,"Молоко Prodlacta ультрапастеризоване 1,5% 1л",0,0,0,0,"Prodlacta",""
4085800014439,"Пудинг Puddis з какао 125г",100,2.2,2.4,17,"Puddis","125"
4085800014422,"Пудинг Puddis ваніль 125г",97,1.9,2.4,17,"Puddis","125"
8006663001042,"Сир Grana Padano VIRGILIO 200г витр. від 16 міс. (Італія)",0,0,0,0,"Virgilio","200"
8006663004852,"Масло Virgilio вершкове 82% 200г",760,0.7,84,0,"Virgilio","200"
8006663148006,"Вершки Virgilio кулінарні 200мл",246,2.7,25,3.7,"Virgilio",""
8006663006672,"Сир Grana Padano VIRGILIO 200г (Італія)",0,0,0,0,"Virgilio","200"
8006663118016,"Масло Virgilio вершкове 82% 125г",760,0.7,84,0,"Virgilio","125"
8006663109007,"Масло Virgilio вершкове 82% 250г",760,0.7,84,12,"Virgilio","250"
4820103344957,"Продукт молоковмісний згущений Ічня з цукром 8,5% 300г",311,2.3,8.5,58,"Ічня","300"
4820141409489,"Десерт сирковий Богодухівський Молзавод глазурований зі шматочками кураги 23% 6х36г",0,0,0,0,"Богодухівський молзавод","216"
4820141409465,"Десерт сирковий Богодухівський Молзавод глазурований молоковмісний з ароматом ваніліну 23% 6х36г",0,0,0,0,"Богодухівський молзавод","216"
4820270910818,"Йогурт Волошкове Поле полуниця 2,5% 400г",88,2.9,2.5,11.9,"Волошкове Поле","400"
4820276440081,"Яйця курячі Від Доброї Курки Київська 10 С1 10шт",160,13,11.5,0.9,"Від Доброї Курки",""
4820229460326,"Яйця курячі Від Доброї Курки Свіжість С1 10шт",160,13,11.5,0.9,"Від Доброї Курки",""
4820009353046,"Сир Звени Гора Оригінальний плавлений пастоподібний 64% 90г",240,9,20,6,"Звени Гора","90"
4820216080278,"Масло Здорово Екстра солодковершкове 82,5% 200г",661,0.8,72.5,1.3,"Здорово","200"
4820216080728,"Сметана Здорово Селянська 15% 300г",160,3,15,3.3,"Здорово","300"
4820216080513,"Масло Здорово Селянське солодковершкове 72,5% 200г",748,0.5,82.5,0.8,"Здорово","200"
4820216080223,"Сметана Здорово Селянська 15% 900г",160,3,15,3.3,"Здорово","900"
4820187460673,"Яйця курячі Квочка Файна С0 10шт",160,13,11.5,0.9,"Квочка",""
4820149827360,"Масло Комо Селянське кисловершкове 82,5% 180г",747,0.7,82.5,0.4,"Комо","180"
4820149827346,"Масло Комо Селянське кисловершкове 73% 180г",663,0.8,73,0.6,"Комо","180"
2000016838978,"Сир Комо Традиційний 50%",365,24,29,1,"Комо",""
2000016836431,"Сирний продукт Молочний Шлях Класичний смак 50%",353,23,29,0,"Молочный Шлях",""
4823039004896,"Продукт сирний плавлений Наш Сирок Вершковий 50% 70г",248.7,4.7,22,8,"Наш Сирок","70"
4823039004919,"Продукт сирний Дружба Наш сирок 50% 70г",248.7,4.7,22,8,"Наш Сирок","70"
4820144814419,"Молоко згущене Полтавочка Преміум 8,5% 440г",338.5,7.2,8.5,58.3,"Полтава","440"
